Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
61.14140000000043,61.43594399999711,0.2945439999966766,core 2 cpu_idle,0.0043792801919505875
61.43594399999711,61.43599499999982,5.100000271340832e-05,core 2 cpu_frequency,2.006160586735932e-05
61.43599499999982,61.649897999999666,0.21390299999984563,core 2 cpu_idle,0.0031803098039977053
61.649897999999666,61.64999199999875,9.399999908055179e-05,core 2 cpu_frequency,3.697629083832144e-05
61.64999199999875,71.26399999999921,9.614008000000467,core 2 cpu_idle,0.14294107094400696
0.0,8.037470999999641,8.037470999999641,core 3 cpu_idle start,0.11950111882799468
8.037470999999641,8.270567999999912,0.23309700000027078,core 3 cpu_idle,0.0034656861960040263
8.270567999999912,8.273904999998194,0.0033369999982824083,core 3 cpu_frequency,0.0013126583369243597
8.273904999998194,25.644170999999915,17.37026600000172,core 3 cpu_idle,0.2582611148880256
25.644170999999915,25.644218999997975,4.7999998059822246e-05,core 3 cpu_frequency,1.8881509636802365e-05
25.644218999997975,26.30820699999822,0.6639880000002449,core 3 cpu_idle,0.009872173584003642
26.30820699999822,26.3083149999984,0.00010800000018207356,core 3 cpu_frequency,4.2483398471621326e-05
